placa,distance_per_engine_hour,idle_time_ratio,speed_efficiency,after_hours_efficiency,harsh_driving_penalty,operational_efficiency_score,total_distance,total_engine_hours
A-05355-A,92.93044648525,0.0,0.0,1.0,1.0,0.6,92.93044648525,1
A-05355-A,82.26519926846,0.0,0.0,1.0,1.0,0.6,82.26519926846,1
A-05355-A,222.197985343,0.0,0.0,1.0,1.0,0.6,222.197985343,1
A-05355-A,84.7624308,0.0,0.0,1.0,1.0,0.6,84.7624308,1
A-05355-A,89.9009121855,0.0,0.0,1.0,1.0,0.6,89.9009121855,1
A-05355-A,134.2017049897,0.0,0.0,1.0,1.0,0.6,134.2017049897,1
A-05355-A,45.29155464,0.0,0.0,1.0,1.0,0.5811662185600001,45.29155464,1
A-05355-A,239.864925648,0.0,0.0,1.0,1.0,0.6,239.864925648,1
A-05355-A,102.41376268,0.0,0.0,1.0,1.0,0.6,102.41376268,1
A-05355-A,73.87277717562,0.0,0.0,1.0,1.0,0.6,73.87277717562,1
A-05355-A,255.884522178,0.0,0.0,1.0,1.0,0.6,255.884522178,1
A-05355-A,236.68770380976,0.0,0.0,1.0,1.0,0.6,236.68770380976,1
A-05355-A,153.469001,0.0,0.0,1.0,1.0,0.6,153.469001,1
A-05355-A,78.03191768889,0.0,0.0,1.0,1.0,0.6,78.03191768889,1
A-05355-A,61.3529373489,0.0,0.0,1.0,1.0,0.6,61.3529373489,1
A-05355-A,135.962169,0.0,0.0,1.0,1.0,0.6,135.962169,1
A-05355-A,181.6806922738,0.0,0.0,1.0,1.0,0.6,181.6806922738,1
A-05355-A,110.9200228285,0.0,0.0,1.0,1.0,0.6,110.9200228285,1
A-05355-A,46.033462400000005,0.0,0.0,1.0,1.0,0.5841338496,46.033462400000005,1
A-05355-A,147.83575566,0.0,0.0,1.0,1.0,0.6,147.83575566,1
A-05355-A,275.469270333,0.0,0.0,1.0,1.0,0.6,275.469270333,1
A-05355-A,105.7601691461,0.0,0.0,1.0,1.0,0.6,105.7601691461,1
A-05355-A,62.2717130887,0.0,0.0,1.0,1.0,0.6,62.2717130887,1
A-05355-A,99.73628774,0.0,0.0,1.0,1.0,0.6,99.73628774,1
A-05355-A,98.60433194446,0.0,0.0,1.0,1.0,0.6,98.60433194446,1
A-05355-A,84.315978444,0.0,0.0,1.0,1.0,0.6,84.315978444,1
A-05355-A,239.2350963052,0.0,0.0,1.0,1.0,0.6,239.2350963052,1
A-05355-A,140.37381244446,0.0,0.0,1.0,1.0,0.6,140.37381244446,1
A-05355-A,119.9183010575,0.0,0.0,1.0,1.0,0.6,119.9183010575,1
A-05355-A,153.219840155,0.0,0.0,1.0,1.0,0.6,153.219840155,1
A-05355-A,352.17434692796,0.0,0.0,1.0,1.0,0.6,352.17434692796,1
A-05355-A,132.06109918888998,0.0,0.0,1.0,1.0,0.6,132.06109918888998,1
A-05355-A,129.199943781,0.0,0.0,1.0,1.0,0.6,129.199943781,1
A-05355-A,230.37085614446,0.0,0.0,1.0,1.0,0.6,230.37085614446,1
A-05355-A,56.446452779,0.0,0.0,1.0,1.0,0.6,56.446452779,1
A-05355-A,83.28164179000001,0.0,0.0,1.0,1.0,0.6,83.28164179000001,1
A-05355-A,83.76591957,0.0,0.0,1.0,1.0,0.6,83.76591957,1
A-05355-A,76.91057660735,0.0,0.0,1.0,1.0,0.6,76.91057660735,1
A-05355-A,154.8999943807,0.0,0.0,1.0,1.0,0.6,154.8999943807,1
A-05355-A,126.583215672,0.0,0.0,1.0,1.0,0.6,126.583215672,1
A-05355-A,209.789972109,0.0,0.0,1.0,1.0,0.6,209.789972109,1
A-05355-A,344.97804621800003,0.0,0.0,1.0,1.0,0.6,344.97804621800003,1
A-05355-A,173.17171362046,0.0,0.0,1.0,1.0,0.6,173.17171362046,1
A-05355-A,121.80709747896,0.0,0.0,1.0,1.0,0.6,121.80709747896,1
A-05355-A,165.287799048,0.0,0.0,1.0,1.0,0.6,165.287799048,1
A-05355-A,142.865661472,0.0,0.0,1.0,1.0,0.6,142.865661472,1
A-05355-A,45.4338265497,0.0,0.0,1.0,1.0,0.5817353061988,45.4338265497,1
A-05355-A,65.715106259,0.0,0.0,1.0,1.0,0.6,65.715106259,1
A-05355-A,177.01977801141,0.0,0.0,1.0,1.0,0.6,177.01977801141,1
A-05355-A,305.60705640000003,0.0,0.0,1.0,1.0,0.6,305.60705640000003,1
A-05355-A,120.1794997,0.0,0.0,1.0,1.0,0.6,120.1794997,1
